timestamp_local,outdoor_temperature_c,heat_truth_mw,heat_pred_mw,cool_truth_mw,cool_pred_mw
2023-04-30 08:00:00,12.3,2.4729127574096077e-15,0.0,39.663143323845404,56.560157433633364
2023-04-30 09:00:00,13.7,3.986790036237197e-14,0.0,368.8831898128782,921.1539965500376
2023-04-30 10:00:00,14.8,7.338299585023491e-14,0.0,927.3825926232499,1171.8919664648593
2023-04-30 11:00:00,15.4,4.388939131850482e-14,0.0,911.9025423712596,1115.4916322571248
2023-04-30 12:00:00,15.1,2.1014482816448287e-14,0.0,374.7354782855779,324.9209195510464
2023-04-30 13:00:00,15.2,1.0156386461261207e-13,0.0,630.0333417012355,773.50753027904
2023-04-30 14:00:00,15.6,4.5799895592746485e-14,0.0,775.0121199388179,752.1621421029454
2023-04-30 15:00:00,15.7,2.213827130011245e-14,0.0,683.6664901142698,597.684166836787
2023-04-30 16:00:00,15.8,2.382916137622428e-13,0.0,585.1832353014613,472.13880599921566
2023-04-30 17:00:00,15.7,5.888558004781689e-14,0.0,517.6105747330055,388.31380683747784
2023-04-30 18:00:00,14.6,9.572652009915652e-14,0.0,478.5986779579646,421.63943332406103
2023-04-30 19:00:00,12.2,1.0507241408224145e-14,0.0,47.930195594735224,42.221839261634024
2023-04-30 20:00:00,10.4,1.7777357707339916e-15,100.60209930366486,11.813014705277523,6.585693362896484
2023-04-30 21:00:00,10.2,0.0,174.71713983602382,7.33667815220768,5.781282230601362
2023-04-30 22:00:00,8.8,139.74033460081793,370.46621673823176,0.0,0.0
2023-04-30 23:00:00,8.0,365.77910597389575,609.7326524314526,1.1255178218617045e-13,0.0
2023-05-01 00:00:00,7.2,368.6404049999534,304.3368612294267,1.1293850778780655e-14,4.334947363763557
2023-05-01 01:00:00,7.3,473.57038833752165,331.0450175356729,8.638041327602963e-14,2.989726769207592
2023-05-01 02:00:00,6.3,521.3218632730499,428.99957398276865,3.0922377461386294e-14,0.0
2023-05-01 03:00:00,5.5,632.0263307185969,842.4077548878711,8.403462985990537e-14,0.0
2023-05-01 04:00:00,4.9,822.8341806142241,1070.668073888326,9.159979118549293e-14,0.0
2023-05-01 05:00:00,4.3,933.6660328964003,1218.054181139319,2.979240364815765e-13,0.0
2023-05-01 06:00:00,6.8,0.0,291.75591572362316,0.0,5.383591493621606
2023-05-01 07:00:00,8.3,1.166586971935017e-14,0.0,80.6162164507063,113.85177460931251
2023-05-01 08:00:00,10.2,6.842722496297241e-14,0.0,516.5033398242847,528.4518675261036
2023-05-01 09:00:00,12.2,1.6522485398586515e-14,0.0,1274.9924275888654,1548.9229441827674
2023-05-01 10:00:00,14.5,2.663956799632515e-13,0.0,1335.7615418061544,1719.691027364305
2023-05-01 11:00:00,15.9,1.0810670684014727e-13,0.0,1391.9944587607952,2003.6207422727693
2023-05-01 12:00:00,17.0,1.312187436980656e-13,0.0,1607.005987062389,2106.203681641834
2023-05-01 13:00:00,17.8,2.183360070160813e-13,0.0,1841.2270018942286,2282.9276364804773
2023-05-01 14:00:00,17.9,1.7665674014345072e-13,0.0,1862.2184302765743,2411.1615822806825
2023-05-01 15:00:00,17.8,5.2136536112242296e-14,0.0,1101.3109587131416,1298.6033830286713
2023-05-01 16:00:00,18.1,3.498661455927909e-14,0.0,1186.2278096240584,1445.6447193928113
2023-05-01 17:00:00,17.6,8.736680490101486e-14,0.0,910.1399726219797,1053.6070805699824
2023-05-01 18:00:00,16.4,1.831995823709859e-13,0.0,1232.6716507111769,1125.1266270805813
2023-05-01 19:00:00,15.1,1.3903539733512319e-14,0.0,224.25974080229042,251.46126721867748
2023-05-01 20:00:00,14.0,0.0,0.0,130.60337910175002,153.02153949119003
2023-05-01 21:00:00,13.4,1.4899294488861065e-14,0.0,106.6648330007735,122.30730848077101
2023-05-01 22:00:00,12.7,1.406271294969213e-14,0.0,70.59708416347229,74.2030655384367
2023-05-01 23:00:00,11.2,0.0,48.01075265381524,19.152425944339292,9.038518223541985
2023-05-02 00:00:00,10.2,0.0,127.61535639773624,9.025482795828067,5.029313887578247
2023-05-02 01:00:00,10.2,0.0,159.80041436271623,5.269522031162695,0.0
2023-05-02 02:00:00,10.7,24.568129376271155,153.8356988789957,3.624193095910158,0.0
2023-05-02 03:00:00,10.8,68.03843693112188,122.91908500574527,1.921722348969757,0.0
2023-05-02 04:00:00,11.8,54.29574758446886,0.0,2.8352321184895484,7.034074217341804
2023-05-02 05:00:00,11.6,27.83517787860103,10.374240107028273,9.898944059829342,13.740448570307958
2023-05-02 06:00:00,12.2,1.6539142788123987e-14,0.0,56.389603559397685,87.30130788031781
2023-05-02 07:00:00,13.1,0.0,0.0,123.67196907263978,150.92018376062555
2023-05-02 08:00:00,13.9,3.609995226697444e-14,0.0,156.5103421745153,203.6142687077833
2023-05-02 09:00:00,14.6,1.0077275098252599e-13,0.0,433.7079719268301,476.8330466085847
2023-05-02 10:00:00,15.2,7.723882348252367e-14,0.0,771.6871318847468,867.055722189085
2023-05-02 11:00:00,16.0,5.724986949093308e-14,0.0,863.9483887626457,1104.1795260071349
2023-05-02 12:00:00,16.1,1.673163078337875e-15,0.0,839.6850871645454,1065.595886688042
2023-05-02 13:00:00,16.4,1.691148802237509e-13,0.0,1137.6689871848876,1425.898196116943
2023-05-02 14:00:00,16.1,5.4003274831440216e-14,0.0,846.8055658252545,810.0642496210946
2023-05-02 15:00:00,15.8,6.13234697191894e-14,0.0,426.60477320313873,253.19306868065598
2023-05-02 16:00:00,15.2,3.60605372943518e-14,0.0,210.1781527839029,184.37170917046188
2023-05-02 17:00:00,14.4,1.6544368176108388e-15,0.0,159.78976882613728,186.4147227782948
2023-05-02 18:00:00,13.8,4.890256751992876e-14,0.0,208.37144266738125,173.40181563259884
2023-05-02 19:00:00,13.2,2.938029820813766e-14,0.0,131.824255353707,149.02542832259059
2023-05-02 20:00:00,12.8,4.1829076958446875e-16,0.0,92.92781908163965,119.49224781518085
2023-05-02 21:00:00,12.4,1.494926665747349e-14,0.0,71.47217459680903,90.38481546519719
2023-05-02 22:00:00,12.0,7.110943082935968e-15,0.0,30.684493493368564,39.023026655333325
2023-05-02 23:00:00,11.8,3.555471541467983e-15,0.0,10.400072201736709,11.840508969642299
2023-05-03 00:00:00,11.5,0.0,0.0,4.797601381050369,7.570958814370439
2023-05-03 01:00:00,11.4,66.84540652142012,6.699163061461715,1.9477707946017657,5.9561205582595935
2023-05-03 02:00:00,11.2,108.07228716526367,61.82462050561277,2.2082092517931333e-14,5.81539953928972
2023-05-03 03:00:00,11.0,143.99775136081726,133.40348795466053,0.0,0.0
2023-05-03 04:00:00,10.7,180.77528139542406,161.19631715742128,6.791846752313612e-14,0.0
2023-05-03 05:00:00,10.3,155.55336870211897,221.65430454301645,1.304231016506465,0.0
2023-05-03 06:00:00,10.9,0.0,109.27910255150289,22.94229384639898,25.085386326787454
2023-05-03 07:00:00,11.9,1.3929682906611348e-14,0.0,84.01478716365753,99.85890472427909
2023-05-03 08:00:00,12.9,1.6357105568838024e-16,0.0,152.9792937685363,189.1190393448209
2023-05-03 09:00:00,13.7,1.9628526682605627e-14,0.0,204.35081744753256,163.36560396471987
