term,frequency
sample entropy,1
multi model fusion,1
entropy,1
load components,1
zero crossing rate,1
probabilistic technique,1
statistical distribution,1
probabilistic load flow analysis,1
voltage unbalance factors,1
probabilistic forecasts,1
predictive distributions,1
spatial distribution,1
deterministic forecasts,1
electrical power,1
state of health,1
accurate estimation,1
partial charges,1
integrated gradient,1
probabilistic state of health prediction,1
mean absolute error,1
short term load forecast,1
number of hidden neurons,1
hidden neurons,1
stochastic search algorithms,1
stlf,1
neurons,1
montecarlo methods,1
meta modeling sensitivity analyse,1
heating load,1
european directive,1
retrofit measures,1
laws and legislation,1
calibration process,1
generator parameters,1
estimated parameter,1
synchrophasor measurements,1
wages,1
low pressures,1
parameters calibrations,1
surface algorithm,1
quantitative analysis,1
differentiators,1
feedback control,1
high gain,1
invariance,1
maximum power extractions,1
third order sliding mode control,1
high gain differentiator,1
third order sliding modes,1
fourier transforms,1
systems performance,1
boolean functions,1
expert knowledge,1
mathematical programming,1
unit commitment problems,1
actor critic,1
demand prediction,1
novel methodology,1
probability estimate,1
contingency management,1
analytical formulation,1
alternating direction method of multipliers,1
polynomial approximation,1
statistical information,1
multivariate polynomial,1
power transmission lines,1
clean energy transition,1
transmission line measurements,1
electric lines,1
power predictions,1
quality control,1
fuel supply,1
fully integrated,1
integral part,1
model structures,1
computational methods,1
computation model,1
type ii,1
input features,1
powerloss,1
cuckoo searches,1
ant lion optimizer,1
bus transmission,1
bus voltage,1
gravitational search algorithms,1
hybrid techniques,1
thyristors,1
gravitational search algorithm gsa,1
mechatronics,1
convex functions,1
dc dc converters,1
vehicles,1
computational model,1
electric drives,1
pins,1
traction motors,1
alternating current opf,1
alternating current,1
electric impedance measurement,1
reproducibility of results,1
swarm intelligence,1
reproducibility,1
animals,1
bird,1
animal,1
transportation network,1
dynamic wireless charging,1
wireless charging,1
grid expansions,1
cheju cheju prvisl,1
monte carlo s simulation,1
capacity factors,1
probabilistic modeling,1
weibull,1
supply chains,1
strategic investments,1
supply chain network,1
capacity expansion,1
learning frameworks,1
transmissions,1
offshore oil well production,1
offshore structure,1
first principle simulation,1
automatic model generation,1
automation,1
physics based modeling,1
sweden,1
marginal electricities,1
market conditions,1
electricity production,1
system performance analysis,1
rice,1
india,1
rice husk,1
bio energy,1
gasification,1
power to gas,1
methane production,1
advanced biofuels,1
gas industry,1
electricity system,1
chemical energy,1
flexible operation,1
steam,1
steam generation,1
electrification in industry,1
heat demands,1
software,1
multicomponents,1
high temperature,1
level of contributions,1
energy analysis,1
refrigerators,1
absorption cooling,1
thermodynamic modelling,1
multi layer feed forward,1
methanol,1
resnet,1
small modular reactors,1
1 d cnn,1
transcritical cycle,1
maximum loadability,1
perfect foresights,1
sharing information,1
proportional load sharing,1
dynamic droop control,1
resistance,1
energy distributions,1
q learning,1
droop control,1
frequency regulations,1
fractional order,1
order types,1
improvised moth swarm algorithm,1
electric control equipment,1
fractional order type 2 fuzzy controller,1
type 2 fuzzy,1
swarm algorithms,1
fuzzy controllers,1
nonlinear load,1
control design,1
tubes components,1
pi control,1
adaptive control,1
stackelberg games,1
market competition,1
game strategies,1
trading mechanism,1
competition,1
energy routers,1
energy routing,1
stochastics,1
routing performance,1
smart power,1
energy internet,1
municipal solid waste,1
biogas energy,1
rankine cycle,1
fermentation,1
parameter analysis,1
biogas,1
multi generations,1
4e,1
firedamp,1
flight control systems,1
load testing,1
gas pipeline,1
outages,1
multiple cascading failure,1
computer programming,1
cascading failures,1
failure analysis,1
maximum mean discrepancy,1
exponential algorithms,1
adaptive pi controllers,1
proportional plus integral controllers,1
numerical method,1
complementary energy,1
model validation,1
reductions,1
simulation response,1
transient simulation,1
hybrid power,1
tri generation,1
experimental design techniques,1
weighted sum approaches,1
islanding,1
short term simulation,1
smart distribution systems,1
distribution operations,1
preventive maintenance,1
state transitions,1
gaussian mixture model,1
multi objective state transition algorithm,1
inverse problems,1
objective approaches,1
electric equipment protection,1
directional over current relays,1
relay coordination,1
operating time,1
system analysis computing,1
power distribution faults,1
circuit breakers,1
ship designs,1
power distributions,1
timing circuits,1
contactor,1
electric circuit breakers,1
rectifying circuits,1
distributed energies,1
electrical hub,1
existing energies,1
high degree of accuracy,1
variance analysis,1
advanced technology,1
system operator,1
plant distributions,1
local energy market,1
local energy,1
data enhancement,1
conservation voltage reductions,1
tractable reformulation,1
fuzzy approach,1
intermittent energy,1
ontario canada,1
input/output datum,1
hybrid,1
